Upper Tier Local Authority District code (2024),Upper Tier Local Authority District name (2024),IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD25 - Extent ,IMD25 - Rank of extent ,IMD25 - Local concentration ,IMD25 - Rank of local concentration 
E06000001,Hartlepool,23075.98,23,37.580,5,0.421,3,0.526,7,33623.27,3
E06000002,Middlesbrough,23840.54,17,40.037,2,0.500,1,0.566,3,33672.10,2
E06000003,Redcar and Cleveland,20592.69,46,30.336,29,0.250,21,0.367,37,33529.27,5
E06000004,Stockton-on-Tees,17658.71,82,25.830,53,0.194,34,0.318,49,33332.64,12
E06000005,Darlington,18611.35,70,25.713,55,0.197,33,0.281,53,33117.99,24
E06000006,Halton,20886.57,42,31.117,24,0.313,12,0.429,23,33327.38,13
E06000007,Warrington,13072.02,121,16.835,115,0.061,80,0.156,84,30722.59,80
E06000008,Blackburn with Darwen,24567.65,9,36.899,8,0.374,8,0.570,2,33262.48,19
E06000009,Blackpool,26536.86,1,43.467,1,0.404,6,0.522,8,33748.14,1
E06000010,"Kingston upon Hull, City of",24324.73,11,37.206,6,0.417,4,0.520,10,33340.11,11
E06000011,East Riding of Yorkshire,12648.72,125,15.755,121,0.061,79,0.098,111,30438.49,86
E06000012,North East Lincolnshire,19754.27,58,30.213,31,0.271,17,0.370,32,33609.96,4
E06000013,North Lincolnshire,18590.12,71,23.473,73,0.117,58,0.211,71,32214.66,50
E06000014,York,9512.50,145,11.814,142,0.000,131,0.068,122,27798.04,123
E06000015,Derby,19898.13,57,28.155,41,0.184,38,0.361,38,33110.37,25
E06000016,Leicester,25204.55,4,34.449,12,0.200,32,0.495,14,32821.38,32
E06000017,Rutland,8552.38,149,9.851,150,0.000,131,0.000,149,15058.78,152
E06000018,Nottingham,24079.07,14,33.747,15,0.307,14,0.504,13,32737.58,34
E06000019,"Herefordshire, County of",16764.48,94,18.762,99,0.009,119,0.071,121,28211.49,116
E06000020,Telford and Wrekin,19007.58,66,24.423,62,0.130,54,0.252,63,32109.44,53
E06000021,Stoke-on-Trent,23586.10,21,33.614,16,0.288,15,0.495,15,32889.75,30
E06000022,Bath and North East Somerset,10247.52,141,12.281,140,0.025,104,0.038,135,26239.75,135
E06000023,"Bristol, City of",17434.22,85,22.496,80,0.112,60,0.213,70,32343.28,49
E06000024,North Somerset,12208.97,128,15.456,123,0.065,76,0.096,113,30756.72,79
E06000025,South Gloucestershire,10114.56,142,11.614,143,0.000,131,0.010,144,22743.04,144
E06000026,Plymouth,18688.94,68,24.087,65,0.116,59,0.257,58,31881.10,62
E06000027,Torbay,21271.67,39,26.917,49,0.110,63,0.255,59,32441.40,46
E06000030,Swindon,14096.54,113,17.554,110,0.071,75,0.133,95,31025.90,76
E06000031,Peterborough,21226.31,40,27.799,43,0.132,53,0.367,36,31817.21,65
E06000032,Luton,22777.92,25,29.548,37,0.136,50,0.367,34,32093.18,54
E06000033,Southend-on-Sea,18080.37,77,24.027,66,0.111,61,0.265,55,32512.81,44
E06000034,Thurrock,17963.05,78,21.032,87,0.030,100,0.139,91,29766.73,99
E06000035,Medway,19136.32,65,24.354,63,0.089,69,0.253,62,31939.66,60
E06000036,Bracknell Forest,8640.96,148,10.084,149,0.000,131,0.000,149,20769.77,148
